CARD NAME||MEANING1||MEANING2||WARNINGMESSAGE||PICTUREPATH
THE CLOUD|The decision decides the outcome. Choose your decisions carefully|Your Ability to make decisions wisely is questioned. Relax and open your heart before judging a situation.If you make the best decision, your heart will be at ease|Your heart determines wheter your luck will rise or fall. Happy and optimistic people attract other people, and good luck is sure to follow.|
THE CREATE|Abundant passion, the blooming of passion.|When you express your thoughts and emotions, you feel at ease. You will experience increased creativity in the fields of art and music. Inspiration and wonderful ideas will come as a result of focusing in these two fields|Don't allow yourself to be restricted by traditional concepts or rules. Follow your intuition and act accordingly-The possibility of unexpected discoveries or encounters will be high.|
THE DARK|Let nature take its course, as always|Your energy is low, so stop trying to make your schedule full to bursting with visits to/from friends/relatives/acquaintances and take a day off from socializing so you can rest. Even if you lead a fast paced life, you still need to find the time to take a deep breath and relax|Haste makes waste. The truth is, you need to accept your situation and save your energy for the next step.|
THE FIREY|Strong beliefs. Overcoming obstacles.|You can overcome obstacles with your strong life force. Even if you are on the verge of giving up, your high level of energy can still help you achieve your goals.|Be careful of being overconfident. It may cause people around you to hate you or be angry at you.|
THE LIGHT|Be a leader. The prospects of the future.|You attract the attention of everyone with your radiant spirit. No matter what you do, it will always go well, with a great amount of luck. You will be able to improve your abilities in your area of specialty. There's a good chance that secret admirers will declare their love|It is possible to obtain a bright future by doing your very best. Rush into action without fearing failure.|
THE MIST|Ascertain the situation, and decide which direction you will take|You are given the chance to reconsider what you want to do. You will not be able to fully analyze the problems as a result of your idecisiveness|Be calm. If you think simply and with honest feelings, the mist surrounding you will eventually turninto good weather.|
THE RAIN|Finally, things turn for the better.|A rain of blessings will surely occur. Unfortunate occurrences can also be thought of as lessons that wil strengthen your character. Don't be pessimistic.|Painful experiences are only temporary. Relax and enjoy life.|
THE SNOW|A new beginning. Peace. Purity|Change your attitude and create a new beginning. This is a very good tiem to start taking lessons. You will be able to associate with great mentors.|Stop fussing about the past. Try changing your point-of-view and take an active part in the "new" world.|
THE STORM|Intense emotions. Frustation being reduced|Suppressed emotions and fears will come bursting to the surface. You may encounter severe problems. To improve your situation, you need to stop being pessimistic and be more assertive of your opinions.|If you stay quiet, your charm will be reduced by half. Firmly express your intentions.|
THE THUNDER|Good luck will come your way if you stay true to yourself|Time will test whether you will be able to control your explosive, violent emotions. You will be able to come up with idea after idea; your unique sense of emotion is appealing.|Actions based upon rationality and courage will attract supporters, but selfish desires and behaviors will attract enemies.|
THE WATERY|Cooperation. The ability to open people's hearts.|Everyone trusts you because you are such an understanding person. Your ability to supervise without trouble is very helpful in the workplace.|Demonstrate great ledership-it will transform your environment into one of a gentle aura.|
THE WAVE|A flexible attitude will bring good fortune|You have your ups and downs, but ultimately you'll be able to step forward. If you are looking for an advisor to help fix a soured interpersonal relationship, turn to the magnanimous ocean.|Someone may make an unexpected love confession. In this situation, even if you don't like this person, don't reject him or her.|
THE WINDY|Hints of progress, completion and expectation.|A time of change and activity. There's a big possibility of getting useful information. Observe the situation around you with more caution than you usually would. A decision is important at this time and place.|If you have the urge to call someone names or to lash out at tsomeone verbally, hold it back. If you don't both parties will go through a painful experience.|
THE BIG|Big possibility and ability. An increased thirst for knowledge.|At this time, your desire to learn will be intense. There's also a good chance for you to "level up" -improving every plan and possibility in the process. An unexpected accomnplishment might take place involving an unlikely love relationship, a dream or a goal of yours.|Significant hints and information about the future can be obtained if you go to group activities and parties.|
THE DREAM|A chance to know oneself. Development period of the subconscious.|Your sixth sense is good, and you can obtain important messages from your premonitions and precognitive dreams. There's a suggestion to regain the importance of having a dream, to regain some room in your heart.|Mail a letter or give a phone call to a friend which you haven't talked to in a lont time. You might find a clue to self-recognition.|
THE GLOW|Signs of good luck.|Good fortune approaches. All hesitation is lost, and what you need to do naturally appears before your eyes. The most important thing to do is to firmly prepare yourself.|Work hard in fundamental studies. Your luck will rise if you participate in volunteer work. A plan needs solid foundation in order to succeed.|
THE ILLUSION|The desire to escape from reality.|You have a tendency to only notice changes on the immediate surface of things and to ignore reality. Even if the environment of your life and work change, don't forget that everyone has the power to adapt.|Now is essentialy the time to relax instead of being a perfectionist. Try it -you may find it surprisingly easy.|
THE LITTLE|A small but meaningful transformation period|For every obstacle that makes you anxious and uneasy you will eventually find a way to overcome it. You will be successful for a long time if you do work little by little and keep that pace upl. Accumulation is important.|If you doubt your own feelings or the feelings of the other party, it will weaken your own energy and cause you to lose something important.|
THE MAZE|Losing confidence. Confusion.|If you can't make it to a scheduled event, and you can't arrange it to a different time, take a short little break. Think about the following: Are you stubborn? Do you consider the other party's feelings? Are you cowardly?|Draw an image of the achievement that you desire. It is also important to listen to other people's advice.|
THE POWER|A wish fulfilled. Development.|Your inquisitive mind and effors will become combined, and not only will your wish come true, but you iwll also obtain a high position job. Hereafter, aspects concerning work and love are enhanced more and more.|Life will be good as long as you don't treat anyone poorly or become arrogant. Kindness and modesty are necessary during this time.|
THE SILENT|Forethoughtfullness. A time for recharging.|Even if you don't mention your honesty, everyone recognizes it. If you serve your role properly in life, good news may come unexpectedly.|Even if every day seems to be repetitive, do not be driven to desperation. An understanding person is always nearby.|
THE SONG|Joy, harmony. The energy of healing.|It becomes possible to express what you want to convey freely when you learn to respect the opinion of the other party. Plan something new with your friend-it would be good for you to go on a trip.|Even if you intend to find happiness on your own, it will not be easy. Everyone should share their happiness with each other|
THE SWEET|New love. Popularity. The appearance of a dependent heart.|There's a special person that softens your heart just by being near you. Your efficiency at work seem to rise quickly if you use your cheerfulness to the best of your ability. Your love life can be kept at a stable state for awhile.|It is good to value communication with a friend, but be careful-you tend to depend on it a bit too much at times.|
THE TIME|Every experience improves you. Independence.|Our existence consist of continuously improving ourselves through our experiencies-always progressing. It's important to enjoy the moment to the best of your abilities.|An event always has a message attached. You'll get better at timing if you try to stay aware of it.|
THE TWIN|Your soulmante's appearance.|Operating as a team rather than by yourself will bring you more luck. Every member should contribute what he or she is good at in a give-and-take fashion. Abundant personal connections will become your fortune.|"Thanks" is a beautiful word which should be cherished. There is a chance that you will come across someone who can talk sincerely.|
THE VOICE|A desire to make friends. A desire for a sentimental relationship.|You seem fatigued due to berighborliness. Yet, do your true feelings get mistaken for the opposite during communication? First, call out to the person with "Good morning" or "Good afternoon".|Your luck will abate if you are not able to greet your friend correctly. Bright greetings are the key to good luck.|
THE CHANGE|Change of heart. Waste.|Lack of concentration. You are envious of others and view things and goals in this negative way of thinking. This disturbing mood makes you do excessive shopping.|Changing yourself will result in refreshment. It would be good if you tried playing sports or redecorating your room.|
